PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
10535893,Garlic breath explained: why brushing your teeth won't help,Hasler WL.,Gastroenterology. 1999 Nov,,,,,,,
32221890,Orale Hilfen bei Mundgeruch : Halitosis,Storr M.,MMW Fortschr Med. 2020 Mar,,,,,,,
16474056,Halitosis in association with canine hepatozoonosis,Tarello W.,Vet Rec. 2006 Feb 11,,,,,,,
27869109,Effect of red dyes on blue light phototoxicity against VSC producing bacteria in an experimental oral biofilm,"Jeffet U, Nasrallah R, Sterer N.",J Breath Res. 2016 Nov 21,,,,,,,
33262870,"Halitosis, reduced salivary flow and the quality of life in pre-kidney transplantation patients","Santaella NG, Maciel AP, Simpione G, Santos PS.",J Clin Exp Dent. 2020 Nov 1,,,,,,,
37347220,Target-Driven Z-Scheme Heterojunction Formation for ppb H(2)S Detection from Exhaled Breath at Room Temperature,"Zhao J, He H, Guo J, He Z, Zhao C, Wang H, Gao Z, Song YY.",ACS Sens. 2023 Jul 28,,,,,,,
27386001,Green Tea (Camellia Sinensis): Chemistry and Oral Health,"Khurshid Z, Zafar MS, Zohaib S, Najeeb S, Naseem M.",Open Dent J. 2016 May 11,,,,,,,
29056128,Successful Treatment of Zenker's Diverticulum by Endoscopic Staple-Assisted Diverticulotomy in a 75-year Saudi Female,"Ali MAQ, Al-Harthy SO.",J Coll Physicians Surg Pak. 2017 Oct,,,,,,,
2637418,[Investigation of people's attitudes and reactions towards oral malodour. A preliminary survey conducted on dental hygienics students],"Yaegaki K, Takano Y, Suetaka T, Arai K, Masuda T, Ukisu S.",Shigaku. 1989 Jun,,,,,,,
7473010,Correlation between volatile sulphur compounds and certain oral health measurements in the general population,"Miyazaki H, Sakao S, Katoh Y, Takehara T.",J Periodontol. 1995 Aug,,,,,,,
9643227,The history of oral hygiene products: how far have we come in 6000 years?,Fischman SL.,Periodontol 2000. 1997 Oct,,,,,,,
10821080,Correlation of plain radiological diagnostic features with antral lavage results in chronic maxillary sinusitis,"Ezeanolue BC, Aneke EC, Nwagbo DF.",West Afr J Med. 2000 Jan-Mar,,,,,,,
8708966,A new monitor with a zinc-oxide thin film semiconductor sensor for the measurement of volatile sulfur compounds in mouth air,"Shimura M, Yasuno Y, Iwakura M, Shimada Y, Sakai S, Suzuki K, Sakamoto S.",J Periodontol. 1996 Apr,,,,,,,
37113214,"Dental Anxiety Among Physicians: Relationship with Oral Problems, Dental Visits, and Socio-Demographic Factors","Alkuwaiti E, Alshubaili R, AlZahrani N, Khusheim S, AlMunif R, Alharbi N, Nazir M.",Patient Prefer Adherence. 2023 Apr 20,,,,,,,
24566258,Organoleptic assessment of halitosis for dental professionals--general recommendations,"Greenman J, Lenton P, Seemann R, Nachnani S.",J Breath Res. 2014 Mar,,,,,,,
23890391,Relationship between halitosis and periodontal disease - associated oral bacteria in tongue coatings,"Amou T, Hinode D, Yoshioka M, Grenier D.",Int J Dent Hyg. 2014 May,,,,,,,
5977693,[Foetor ex ore ],de Wit G.,Ned Tijdschr Geneeskd. 1966 Sep 24,,,,,,,
5283483,Direct gas chromatographic analysis of sulphur compounds in mouth air in man,Tonzetich J.,Arch Oral Biol. 1971 Jun,,,,,,,
23024935,Retrospective analysis of the effectiveness of functional endoscopic sinus surgery in the treatment of adult chronic rhinisinusitis refractory to medical treatment,"Shivakumar T, Sambandan AP.",Indian J Otolaryngol Head Neck Surg. 2011 Oct,,,,,,,
12760819,Microbiology and Treatment of Halitosis,Loesche WJ.,Curr Infect Dis Rep. 2003 Jun,,,,,,,
35284240,Influence of tobacco smoking on the development of halitosis,"Kauss AR, Antunes M, Zanetti F, Hankins M, Hoeng J, Heremans A, van der Plas A.",Toxicol Rep. 2022 Mar 6,,,,,,,
27736270,Ultrastructural changes in epithelial cells of rats exposed to low concentration of hydrogen sulfide for 50 days,"Yalçın Yeler D, Aydın M, Hocaoğlu PT, Koraltan M, Özdemir H, Kotil T, Gül M.",Ultrastruct Pathol. 2016 Nov-Dec,,,,,,,
16296259,Reduction of oral levels of volatile sulfur compounds (VSC) by professional toothcleaning and oral hygiene instruction in non-halitosis patients,"Seemann R, Passek G, Bizhang M, Zimmer S.",Oral Health Prev Dent. 2004,,,,,,,
22126622,Effects of an oral health education program targeting oral malodor prevention in Japanese senior high school students,"Ueno M, Shinada K, Zaitsu T, Yokoyama S, Kawaguchi Y.",Acta Odontol Scand. 2012 Sep,,,,,,,
33609728,Evaluation of Virola oleifera activity in musculoskeletal pathologies: Inhibition of human multiple myeloma cells proliferation and combination therapy with dexamethasone or bortezomib,"Francisco V, Ruiz-Fernández C, González-Rodríguez M, Cordero-Barreal A, Pino J, Viñuela JE, Lago F, Conde J, Gómez R, Carvalho GR, Costa Pereira TM, Campos-Toimil M, Gualillo O.",J Ethnopharmacol. 2021 May 23,,,,,,,
32477184,Oral Health Status of Chinese Children With Autism Spectrum Disorders,"Qiao Y, Shi H, Wang H, Wang M, Chen F.",Front Psychiatry. 2020 May 5,,,,,,,
7594010,Assessing the contribution of anaerobic microflora of the tongue to oral malodor,"De Boever EH, Loesche WJ.",J Am Dent Assoc. 1995 Oct,,,,,,,
16553730,A preliminary study of the effect of probiotic Streptococcus salivarius K12 on oral malodour parameters,"Burton JP, Chilcott CN, Moore CJ, Speiser G, Tagg JR.",J Appl Microbiol. 2006 Apr,,,,,,,
6347641,[Halitosis],Lamberg MA.,Duodecim. 1983,,,,,,,
38786391,Effect of Antimicrobial Photodynamic Therapy on the Tongue Dorsum on Reducing Halitosis and the Duration of the Effect: A Randomized Clinical Trial,"Maruyama T, Ekuni D, Yokoi A, Nagasaki J, Sawada N, Morita M.",Healthcare (Basel). 2024 May 9,,,,,,,
34145682,The Intestinal Gas Questionnaire (IGQ): Psychometric validation of a new instrument for measuring gas-related symptoms and their impact on daily life among general population and irritable bowel syndrome,"Duracinsky M, Archbold S, Lobo B, Bessonneau P, Thonon F, Santos J, Guagnozzi D, Payakachat N, Coffin B, Azpiroz F, Whorwell PJ, Chassany O.",Neurogastroenterol Motil. 2022 Mar,,,,,,,
35014192,Interdental plaque reduction after the use of different devices in patients with periodontitis and interdental recession: A randomized clinical trial,"Gennai S, Nisi M, Perić M, Marhl U, Izzetti R, Tonelli M, Petrini M, Graziani F.",Int J Dent Hyg. 2022 May,,,,,,,
21986393,Character traits of malodor patients,"Sugiyama T, Kameyama A, Yamakura D, Morinaga K, Tsunoda M.",Bull Tokyo Dent Coll. 2011,,,,,,,
12013345,Microbiology and treatment of halitosis,"Loesche WJ, Kazor C.",Periodontol 2000. 2002,,,,,,,
37204484,Self-reported outcomes on oral health and oral health-related quality of life in long-term childhood cancer survivors-A DCCSS-LATER 2 Study,"Stolze J, Raber-Durlacher JE, Loonen JJ, Teepen JC, Ronckers CM, Tissing WJE, de Vries ACH, Neggers SJCMM, Dulmen-den Broeder E, Heuvel-Eibrink MM, van der Pal HJH, Versluys AB, Heiden-van der Loo M, Louwerens M, Kremer LCM, Bresters D, Brand HS",,,,,,,,
17586066,Factors associated with self-reported halitosis (SRH) and perceived taste disturbance (PTD) in elderly,"Nalcaci R, Baran I.",Arch Gerontol Geriatr. 2008 May-Jun,,,,,,,
1474481,Non-oral etiologies of oral malodor and altered chemosensation,"Preti G, Clark L, Cowart BJ, Feldman RS, Lowry LD, Weber E, Young IM.",J Periodontol. 1992 Sep,,,,,,,
22234955,Effect of mouth-rinse formulations on oral malodour processes in tongue-derived perfusion biofilm model,"Saad S, Hewett K, Greenman J.",J Breath Res. 2012 Mar,,,,,,,
22081200,Papillon-Lefevre syndrome,"Singh VP, Sharma A, Sharma S.",Mymensingh Med J. 2011 Oct,,,,,,,
6597516,[Microbiological aspects of halitosis and its treatment],"González AB, Rodríguez-Inda G, Morlet-Andreu R.",Rev ADM (1979). 1983 Nov-Dec,,,,,,,
30479990,PAEDIATRIC OTORHINOLARYNGOLOGICAL PRESENTATION OF HALITOSIS IN A DEVELOPING COUNTRY,"Adegbiji AW, Olajide TG, Olusola AG, Olatoke F, Nwawolo CC.",J West Afr Coll Surg. 2017 Oct-Dec,,,,,,,
29443874,Dental Application of Natural Products,"Sakagami H, Tomomura M.",Medicines (Basel). 2018 Feb 14,,,,,,,
22968608,[Halitosis in certain somatic diseases],"Bakhmutov DN, Fedorov IG, Kharchenko OI, Ianushevich OO.",Stomatologiia (Mosk). 2012,,,,,,,
24353078,Interdental brushing for the prevention and control of periodontal diseases and dental caries in adults,"Poklepovic T, Worthington HV, Johnson TM, Sambunjak D, Imai P, Clarkson JE, Tugwell P.",Cochrane Database Syst Rev. 2013 Dec 18,,,,,,,
264535,Production and origin of oral malodor: a review of mechanisms and methods of analysis,Tonzetich J.,J Periodontol. 1977 Jan,,,,,,,
6586894,[The effect of chewing gum on halitosis using gas chromatography (II)],"Tsunoda M, Ohkushi T, Nakazaki T, Moriyama T, Iwata K, Sato Y.",Nihon Shishubyo Gakkai Kaishi. 1983 Dec,,,,,,,
26081039,The effect of water on morning bad breath: a randomized clinical trial,"Van der Sluijs E, Slot DE, Bakker EW, Van der Weijden GA.",Int J Dent Hyg. 2016 May,,,,,,,
23472927,Antibiotic prophylaxis in tonsillectomy and its relationship with postoperative morbidity,"Gil-Ascencio M, Castillo-Gómez CJ, Palacios-Saucedo Gdel C, Valle-de la O A.",Acta Otorrinolaringol Esp. 2013 Jul-Aug,,,,,,,
25549369,Oral health: Risk definition in halitosis,"Aydin M, Harvey-Woodworth CN.",Br Dent J. 2014 Nov,,,,,,,
3867429,[Foetor ex ore--halitosis],"Kot I, Kot K.",Czas Stomatol. 1985 Feb,,,,,,,
19950519,"""Doggy breath"": what causes it, how do I evaluate it, and what can I do about it?",Eubanks DL.,J Vet Dent. 2009 Fall,,,,,,,
19149517,Vaccines and photodynamic therapies for oral microbial-related diseases,"Liu PF, Zhu WH, Huang CM.",Curr Drug Metab. 2009 Jan,,,,,,,
16194248,Oral self-care behaviours: comparing Greek and Japanese dental students,"Polychronopoulou A, Kawamura M.",Eur J Dent Educ. 2005 Nov,,,,,,,
18788182,Treatment of peri-implant defect with modified sandwich bone augmentation. Case report and follow-up,"Tözüm TF, Keçeli HG.",N Y State Dent J. 2008 Jun-Jul,,,,,,,
14702102,"Haldane, hot dogs, halitosis, and hypoxic vasodilation: the emerging biology of the nitrite anion",Gladwin MT.,J Clin Invest. 2004 Jan,,,,,,,
15101493,Extraesophageal manifestations of gastroesophageal reflux disease,Vaezi MF.,Clin Cornerstone. 2003,,,,,,,
26199692,Effect of Metronidazole on Halitosis of 2 to 10 Years Old Children,"Sayedi SJ, Modaresi MR, Saneian H.",Iran J Pediatr. 2015 Feb,,,,,,,
27145828,"The efficacy of Er,Cr:YSGG laser supported periodontal therapy on the reduction of peridodontal disease related oral malodor: a randomized clinical study","Dereci Ö, Hatipoğlu M, Sindel A, Tozoğlu S, Üstün K.",Head Face Med. 2016 May 4,,,,,,,
36220121,Oral Manifestations: A Reliable Indicator for Undiagnosed Diabetes Mellitus Patients,"Shahbaz M, Kazmi F, Majeed HA, Manzar S, Qureshi FA, Rashid S.",Eur J Dent. 2023 Jul,,,,,,,
29760825,A Current Approach to Halitosis and Oral Malodor- A Mini Review,Bicak DA.,Open Dent J. 2018 Apr 30,,,,,,,
21885033,Salivary β-galactosidase activity affects physiological oral malodour,"Masuo Y, Suzuki N, Yoneda M, Naito T, Hirofuji T.",Arch Oral Biol. 2012 Jan,,,,,,,
25024551,Self-perceived halitosis and oral hygiene habits among undergraduate dental students,"Ashwath B, Vijayalakshmi R, Malini S.",J Indian Soc Periodontol. 2014 May,,,,,,,
25626357,Effect of professional mechanical plaque removal on secondary prevention of periodontitis and the complications of gingival and periodontal preventive measures: consensus report of group 4 of the 11th European Workshop on Periodontology on effective prevention of periodontal and peri-implant diseases,"Sanz M, Bäumer A, Buduneli N, Dommisch H, Farina R, Kononen E, Linden G, Meyle J, Preshaw PM, Quirynen M, Roldan S, Sanchez N, Sculean A, Slot DE, Trombelli L, West N, Winkel E.",J Clin Periodontol. 2015 Apr,,,,,,,
2392414,Halitosis,,Practitioner. 1990 Jun 8,,,,,,,
35959299,Comparative evaluation of nutmeg mouthwash and 0.2% chlorhexidine gluconate mouthwash on halitosis and plaque control: A randomized clinical trial,"Padol MV, Vishwakarma P, Dodamani AS, Gore AW, Chachlani KS, Kharkar SP.",J Indian Soc Periodontol. 2022 Jul-Aug,,,,,,,
3325113,"Choicest ""receipts"" from ""The Complete Servant-maid"", London, 1685",Geshwind M.,Bull Hist Dent. 1987 Oct,,,,,,,
27684792,Halitosis and helicobacter pylori infection: A meta-analysis,"Dou W, Li J, Xu L, Zhu J, Hu K, Sui Z, Wang J, Xu L, Wang S, Yin G.",Medicine (Baltimore). 2016 Sep,,,,,,,
25101909,Effects of self-ligating and conventional brackets on halitosis and periodontal conditions,"Kaygisiz E, Uzuner FD, Yuksel S, Taner L, Çulhaoğlu R, Sezgin Y, Ateş C.",Angle Orthod. 2015 May,,,,,,,
11686501,Successful treatment of gut-caused halitosis with a suspension of living non-pathogenic Escherichia coli bacteria--a case report,"Henker J, Schuster F, Nissler K.",Eur J Pediatr. 2001 Oct,,,,,,,
34562980,The Current and Potential Application of Medicinal Cannabis Products in Dentistry,"Lowe H, Toyang N, Steele B, Bryant J, Ngwa W, Nedamat K.",Dent J (Basel). 2021 Sep 10,,,,,,,
10074758,Microleakage at the abutment-implant interface of osseointegrated implants: a comparative study,"Gross M, Abramovich I, Weiss EI.",Int J Oral Maxillofac Implants. 1999 Jan-Feb,,,,,,,
12636125,Oral malodor,ADA Council on Scientific Affairs.,J Am Dent Assoc. 2003 Feb,,,,,,,
277852,The effect of oral rinses on organoleptic mouth odor ratings and levels of volatile sulfur compounds,"Schmidt NF, Tarbet WJ.",Oral Surg Oral Med Oral Pathol. 1978 Jun,,,,,,,
38891198,Evaluation of the Oral Microbiome before and after Treatments for Halitosis with Photodynamic Therapy and Probiotics-Pilot Study,"de Barros Motta P, Gonçalves MLL, Gallo JMAS, Sobral APT, Motta LJ, Santos EM, de Andrade DJC, Duran CCG, Fernandes KPS, Mesquita-Ferrari RA, Horliana ACRT, Bussadori SK.",Healthcare (Basel). 2024 May 30,,,,,,,
31639775,A simple method to reduce halitosis,,,,,,,,,
5214697,Diagnostic indications of halitosis,Rusiecki RS.,Dent Stud. 1965 Nov,,,,,,,
4511330,An experiment on the side effect of mouth refrigerants,"Tamura T, Inoue H, Moriya Y.",J Nihon Univ Sch Dent. 1972 Jun,,,,,,,
11526645,"[""Usual"" morbidity of pediatric tonsillectomy: a study of 126 cases]","Castellano P, Gámiz MJ, Bracero F, Santiago F, Soldado L, Solanellas J, Ruiz-Mondéjar A, Esteban F.",Acta Otorrinolaringol Esp. 2001 Jun-Jul,,,,,,,
16937589,Assessment of treatment responses to dental flossing in twins,"Biesbrock A, Corby PM, Bartizek R, Corby AL, Coelho M, Costa S, Bretz WA, Bretz WA.",J Periodontol. 2006 Aug,,,,,,,
33236823,Oral manifestations of COVID-19 disease: A review article,"Iranmanesh B, Khalili M, Amiri R, Zartab H, Aflatoonian M.",Dermatol Ther. 2021 Jan,,,,,,,
37704915,The association between periodontitis patients' chief complaints and the stage of periodontitis: A clinical retrospective study,"Gürbüz S, Altıkat M.",Clin Oral Investig. 2023 Oct,,,,,,,
29241412,Tonsillotomy versus tonsillectomy in adults suffering from tonsil-related afflictions: a systematic review,"Wong Chung JERE, van Benthem PPG, Blom HM.",Acta Otolaryngol. 2018 May,,,,,,,
17150382,Relationship between total salivary protein content and volatile sulfur compounds levels in malodor patients,"Sopapornamorn P, Ueno M, Shinada K, Yanagishita M, Kawaguchi Y.",Oral Surg Oral Med Oral Pathol Oral Radiol Endod. 2007 May,,,,,,,
34733749,"Comparison of the Effect of Er,Cr:YSGG Laser and Halita Mouthwash on Oral Malodor in Patients With Chronic Periodontitis: A Randomized Clinical Trial","Poormoradi B, Gholami L, Fekrazad R, Hooshyarfard A, Noorani AR, Loft Haghpanah Z, Farhadian M.",J Lasers Med Sci. 2021 Jun 20,,,,,,,
30584498,Intra-Oral Factors Influencing Halitosis in Young Women,"Shon HS, Kim KO, Jung JK, Cha EJ, Lee SO, Kim KA.",Osong Public Health Res Perspect. 2018 Dec,,,,,,,
38567922,Percentage of patients shifting to another treatment modality: An experience-guided decision,"Kumari S, Goyal M, Kumar M, Khanna M, Yadav E, Singh T.",Dental Press J Orthod. 2024 Mar 29,,,,,,,
27067702,Evaluation of halitosis using OralChroma™ in patients with allergic rhinitis,"Avincsal MO, Altundag A, Dinc ME, Cayonu M, Topak M, Kulekci M.",Eur Ann Otorhinolaryngol Head Neck Dis. 2016 Sep,,,,,,,
13042678,Controversial problems in adenotonsillectomy,ARNOLD JW.,Calif Med. 1953 May,,,,,,,
18151050,Halitosis,,,,,,,,,
24309356,The influence of different factors on the oral health status of smoking and nonsmoking adults,"Tubaishat RS, Malkawi ZA, Albashaireh ZS.",J Contemp Dent Pract. 2013 Jul 1,,,,,,,
38788511,Take the bull by the horns and tackle the potential downsides of the ketogenic diet,"Meng Y, Sun J, Zhang G.",Nutrition. 2024 Sep,,,,,,,
32024347,The Efficiency and Acceptance of a Suction Tongue-Cleaning Device in Adults,"Rhyn S, Zürcher A, Ortiz V, Filippi A.",Swiss Dent J. 2020 Feb 6,,,,,,,
28319129,Changes in salivary microbiota increase volatile sulfur compounds production in healthy male subjects with academic-related chronic stress,"Nani BD, Lima PO, Marcondes FK, Groppo FC, Rolim GS, Moraes AB, Cogo-Müller K, Franz-Montan M.",PLoS One. 2017 Mar 20,,,,,,,
22488663,Megaesophagus,"Mace S, Shelton GD, Eddlestone S.",Compend Contin Educ Vet. 2012 Feb,,,,,,,
27142236,Importance of halitosis. A survey of adolescents and young adults,"Bigler T, Filippi A.",Swiss Dent J. 2016,,,,,,,
33813458,RESULTS OF QUESTIONING PATIENTS WITH NON-ALCOHOLIC FATTY LIVER DISEASE IN THE CONDITIONS OF DENTAL PRACTICE,Emelyanov DV.,Wiad Lek. 2021,,,,,,,
23720570,Global burden of oral conditions in 1990-2010: a systematic analysis,"Marcenes W, Kassebaum NJ, Bernabé E, Flaxman A, Naghavi M, Lopez A, Murray CJ.",J Dent Res. 2013 Jul,,,,,,,
1066399,"[Halitosis, its etiology and prevention]",Kaizu T.,Nihon Shika Ishikai Zasshi. 1976 Jun,,,,,,,
34002709,Halitosis and Associated Risk Factors in Children: A Cross-sectional Study,"AlMadhi NA, Sulimany AM, Alzoman HA, Bawazir OA.",J Contemp Dent Pract. 2021 Jan 1,,,,,,,
21554273,Association between oral malodour and psychological characteristics in subjects with neurotic tendencies complaining of halitosis,"Suzuki N, Yoneda M, Naito T, Inamitsu T, Yamada K, Okada I, Hatano Y, Iwamoto T, Masuo Y, Fuijimoto A, Hirofuji T.",Int Dent J. 2011 Apr,,,,,,,
17949053,Compressed mints and chewing gum containing magnolia bark extract are effective against bacteria responsible for oral malodor,"Greenberg M, Urnezis P, Tian M.",J Agric Food Chem. 2007 Nov 14,,,,,,,
22233305,[Level of smoking of 3rd and 4th grade students studying health and related factors: follow-up study],"Göktalay T, Cengiz Özyurt B, Sakar Coşkun A, Celik P.",Tuberk Toraks. 2011,,,,,,,
14634698,Transmural migration of gastrostomy tube retention discs,"Cahill AM, Baskin KM, Kaye RD, Fitz CR, Towbin RB.",Pediatr Radiol. 2004 Feb,,,,,,,
19555360,Evaluation of an oral function promotion programme for the independent elderly in Japan,"Hakuta C, Mori C, Ueno M, Shinada K, Kawaguchi Y.",Gerodontology. 2009 Dec,,,,,,,
19832911,"The relationship between volatile sulphur compounds, tongue coating and periodontal disease","Calil C, Liberato FL, Pereira AC, de Castro Meneghim M, Goodson JM, Groppo FC.",Int J Dent Hyg. 2009 Nov,,,,,,,
29164415,Decrease of insoluble glucan formation in Streptococcus mutans by co-cultivation with Enterococcus faecium T7 and glucanase addition,"Yu SH, Kwak SH, Nguyen TTH, Seo YS, Song C, Mok IK, Kim D.",Biotechnol Lett. 2018 Feb,,,,,,,
1066599,Reduction of malodor by oral cleansing procedures,"Tonzetich J, Ng SK.",Oral Surg Oral Med Oral Pathol. 1976 Aug,,,,,,,
18505651,Langerhans cell histiocytosis: impact on the permanent dentition after an 8-year follow-up,"Guimarães LF, Dias PF, Janini ME, de Souza IP.",J Dent Child (Chic). 2008 Jan-Apr,,,,,,,
7740739,Garlic breath,Chivers AW.,Vet Rec. 1995 Feb 4,,,,,,,
16764673,Airsacculitis in fourteen juvenile southern Bornean orangutans (Pongo pygmaeus wurmbii),"Lawson B, Garriga R, Galdikas BM.",J Med Primatol. 2006 Jun,,,,,,,
28946895,An unusual foreign object mimicking an odontoma in a patient with cleft alveolus: a case report,"Jayasuriya NSS, Karunathilaka PRCL, Wijekoon P.",J Med Case Rep. 2017 Sep 26,,,,,,,
26057919,Eradication of gastric Helicobacter pylori ameliorates halitosis and tongue coating,"Zaric S, Bojic B, Popovic B, Milasin J.",J Contemp Dent Pract. 2015 Mar 1,,,,,,,
15752107,The analysis of characteristics of elderly people with high VSC level,"Aizawa F, Kishi M, Moriya T, Takahashi M, Inaba D, Yonemitsu M.",Oral Dis. 2005,,,,,,,
9579625,The effect of a 1-stage full-mouth disinfection on oral malodor and microbial colonization of the tongue in periodontitis. A pilot study,"Quirynen M, Mongardini C, van Steenberghe D.",J Periodontol. 1998 Mar,,,,,,,
9002398,Treating halitosis,Miller RA.,J Am Dent Assoc. 1997 Jan,,,,,,,
24172000,A survey of complete denture patients experiencing difficulties with their prostheses,"Gosavi SS, Ghanchi M, Malik SA, Sanyal P.",J Contemp Dent Pract. 2013 May 1,,,,,,,
37041784,Tonsillotomy by a Fractional Carbon Dioxide Laser: A New Technique in the Treatment of Chronic Tonsillitis,"Costa HJZR, Di Francesco RC, Giancoli SM, de Miranda FMP, Bento RF.",J Lasers Med Sci. 2022 Nov 25,,,,,,,
15752090,Proceedings of the Sixth International Conference on Breath Odor,"Greenman J, Rosenberg M.",Oral Dis. 2005,,,,,,,
27456161,Chemiresistive Electronic Nose toward Detection of Biomarkers in Exhaled Breath,"Moon HG, Jung Y, Han SD, Shim YS, Shin B, Lee T, Kim JS, Lee S, Jun SC, Park HH, Kim C, Kang CY.",ACS Appl Mater Interfaces. 2016 Aug 17,,,,,,,
39196637,Assessment of the Quality and Readability of Web-Based Arabic Health Information on Halitosis: Infodemiological Study,Aboalshamat K.,J Med Internet Res. 2024 Aug 28,,,,,,,
5225877,"[Fetor ex ore, its causal, diagnostic and therapeutic problems]",Port P.,Bl Zahnheilkd. 1966 Oct,,,,,,,
9567837,Treating halitosis: a new opportunity,Miller RA.,Dent Today. 1996 Sep,,,,,,,
1640345,Volatile sulfur compounds in mouth air from clinically healthy subjects and patients with periodontal disease,"Yaegaki K, Sanada K.",J Periodontal Res. 1992 Jul,,,,,,,
11486666,Maintaining women's oral health,"McCann AL, Bonci L.",Dent Clin North Am. 2001 Jul,,,,,,,
19709116,Severe necrotizing stomatitis and osteomyelitis after chemotherapy for acute leukaemia,"Santos FA, Pochapski MT, Pilatti GL, Kozlowski VA Jr, Goiris FA, Groppo FC.",Aust Dent J. 2009 Sep,,,,,,,
34360121,Cocaine-Induced Midline Destructive Lesions (CIMDL): A Real Challenge in Diagnosis,"Di Cosola M, Ambrosino M, Limongelli L, Favia G, Santarelli A, Cortelazzi R, Lo Muzio L.",Int J Environ Res Public Health. 2021 Jul 23,,,,,,,
26265885,Tonsillolith: A polymicrobial biofilm,"Yellamma Bai K, Vinod Kumar B.",Med J Armed Forces India. 2015 Jul,,,,,,,
29118280,Association Between Social Anxiety with Oral Hygiene Status and Tongue Coating among Patients with Subjective Halitosis,"Patel J, Kulkarni S, Doshi D, Reddy P, Reddy S, Srilatha A.",J Dent Hyg. 2017 Oct,,,,,,,
23858698,Halitosis: you take my breath away,Okokon CC.,Dent Assist. 2013 May-Jun,,,,,,,
17519485,Bad breath and weight loss,"Soon MS, Yen HH, Chen YY, Yang CW.",Gut. 2007 Jun,,,,,,,
28972384,Clinical Care for an Aging Population,"Chávez EM, Hendre A.",Compend Contin Educ Dent. 2017 Oct,,,,,,,
5250463,Quantitative estimations of fusiforms in saliva from normal individuals and cases of acute ulcerative gingivitis,"Hadi AW, Russell C.",Arch Oral Biol. 1968 Nov,,,,,,,
29753207,An exploratory study of the factors related to mouth breathing syndrome in primary school children,"Saitoh I, Inada E, Kaihara Y, Nogami Y, Murakami D, Kubota N, Sakurai K, Shirazawa Y, Sawami T, Goto M, Nosou M, Kozai K, Hayasaki H, Yamasaki Y.",Arch Oral Biol. 2018 Aug,,,,,,,
28077337,Stress hormone epinephrine (adrenaline) and norepinephrine (noradrenaline) effects on the anaerobic bacteria,Boyanova L.,Anaerobe. 2017 Apr,,,,,,,
10101696,Oral functional limitation among dentate adults,"Foerster U, Gilbert GH, Duncan RP.",J Public Health Dent. 1998 Summer,,,,,,,
17847868,Patient's page. Bad breath (halitosis) and your oral health-- what you should know...,Oklahoma Dental Association.,J Okla Dent Assoc. 2007 Jun,,,,,,,
24584010,[Odor sensing system and olfactory display],Nakamoto T.,Yakugaku Zasshi. 2014,,,,,,,
8133414,Relationship of oral malodor to periodontitis: evidence of independence in discrete subpopulations,"Bosy A, Kulkarni GV, Rosenberg M, McCulloch CA.",J Periodontol. 1994 Jan,,,,,,,
