PMID,Title,,,,,,,,,,,,,
38582033,Effects of a ketogenic diet on motor function and motor unit number estimation in aged C57BL/6 mice,,,,,,,,,,,,,
18950537,Spanish Ketogenic Mediterranean Diet: a healthy cardiovascular diet for weight loss,,,,,,,,,,,,,
34073344,Reduction of Cardio-Metabolic Risk and Body Weight through a Multiphasic Very-Low Calorie Ketogenic Diet Program in Women with Overweight/Obesity: A Study in a Real-World Setting,,,,,,,,,,,,,
30452850,Ketogenic Weight Loss: The Lowering of Insulin Levels Is the Sleeping Giant in Patient Care,,,,,,,,,,,,,
36839183,The Effects of Eight Weeks' Very Low-Calorie Ketogenic Diet (VLCKD) on Liver Health in Subjects Affected by Overweight and Obesity,,,,,,,,,,,,,
38999778,"Effects of a Ketogenic Diet on Body Composition in Healthy, Young, Normal-Weight Women: A Randomized Controlled Feeding Trial",,,,,,,,,,,,,
33039330,Ketogenic Diet as a Normal Way of Eating in Adults With Type 1 and Type 2 Diabetes: A Qualitative Study,,,,,,,,,,,,,
38677719,The case for a ketogenic diet in the management of kidney disease,,,,,,,,,,,,,
36943505,Ketogenic diet for mood disorders from animal models to clinical application,,,,,,,,,,,,,
38526760,Obesity and Obesity-Related Thyroid Dysfunction: Any Potential Role for the Very Low-Calorie Ketogenic Diet (VLCKD)?,,,,,,,,,,,,,
35653127,Clinical and nutritional management of very-low-calorie ketogenic diet (VLCKD) in patients with psoriasis and obesity: a practical guide for the nutritionist,,,,,,,,,,,,,
39246956,Ketogenic Diet and Its Potential Role in Preventing Type 2 Diabetes Mellitus and Its Complications: A Narrative Review of Randomized Controlled Trials,,,,,,,,,,,,,
35773554,The gut microbiome as possible mediator of the beneficial effects of very low calorie ketogenic diet on type 2 diabetes and obesity: a narrative review,,,,,,,,,,,"""","""","10.1007/s40519-022-01434-2"""""""
24398402,Long-term ketogenic diet causes glucose intolerance and reduced ?- and ?-cell mass but no weight loss in mice,,,,,,,,,,,,,
37832180,Role of insulin resistance and leptin in the effect of intermittent feeding with a high-protein ketogenic diet on body composition in rats,,,,,,,,,,,,,
37876614,"Corrigendum: Weight, insulin resistance, blood lipids, and diet quality changes associated with ketogenic and ultra low-fat dietary patterns: a secondary analysis of the DIETFITS randomized clinical trial",,,,,,,,,,,,,
38788511,Take the bull by the horns and tackle the potential downsides of the ketogenic diet,,,,,,,,,,,,,
31999983,"Comments on ""The ketogenic diet: Pros and cons""",,,,,,,,,,,,,
29763602,A ketogenic diet reduces metabolic syndrome-induced allodynia and promotes peripheral nerve growth in mice,,,,,,,,,,,,,
37466954,Very low-calorie ketogenic diet: A valuable and fashionable nutritional therapy. When could it become dangerous?,,,,,,,,,,,,,
36963504,"Association between Fat-Free Mass Loss, Changes in Appetite, and Weight Regain in Individuals with Obesity",,,,,,,,,,,,,
33063272,The ketogenic diet corrects metabolic hypogonadism and preserves pancreatic ß-cell function in overweight/obese men: a single-arm uncontrolled study,,,,,,,,,,,,,
35206443,Heart Rate Variability and Sympathetic Activity Is Modulated by Very Low-Calorie Ketogenic Diet,,,,,,,,,,,,,
24352095,Long term successful weight loss with a combination biphasic ketogenic Mediterranean diet and Mediterranean diet maintenance protocol,,,,,,,,,,,,,
31943235,"Ketogenic diets and protective mechanisms in epilepsy, metabolic disorders, cancer, neuronal loss, and muscle and nerve degeneration",,,,,,,,,,,,,
28752049,Beta-adrenergic receptors are critical for weight loss but not for other metabolic adaptations to the consumption of a ketogenic diet in male mice,,,,,,,,,,,,,
39203867,Sex- and Age-Specific Differences in Mice Fed a Ketogenic Diet,,,,,,,,,,,,,
34582564,Adipose tissue and blood leukocytes ACE2 DNA methylation in obesity and after weight loss,,,,,,,,,,,,,
35920294,"Does exercise during a ketogenic diet effectively alter appetite sensation, appetite-regulating hormones, and body composition?",,,,,,,,,,,,,
36536479,Positive effects of ketogenic diet on weight control in children with obesity due to Prader-Willi syndrome,,,,,,,,,,,,,
36749276,A bibliometric analysis of the global trends and hotspots for the ketogenic diet based on CiteSpace,,,,,,,,,,,,,
23632752,Ketosis and appetite-mediating nutrients and hormones after weight loss,,,,,,,,,,,,,
32969257,Very low-calorie ketogenic diet (VLCKD) in patients with psoriasis and obesity: an update for dermatologists and nutritionists,,,,,,,,,,,,,
37950240,Opposite effects of low-carbohydrate high-fat diet on metabolism in humans and mice,,,,,,,,,,,,,
34087943,Ketogenic Diet with Concurrent Chemoradiation in Head and Neck Squamous Cell Carcinoma: Preclinical and Phase 1 Trial Results,,,,,,,,,,,,,
28079250,Use of the ketogenic diet in the neonatal intensive care unit-Safety and tolerability,,,,,,,,,,,,,
39039372,"A New Nomenclature for the Very Low-Calorie Ketogenic Diet (VLCKD): Very Low-Energy Ketogenic Therapy (VLEKT). Ketodiets and Nutraceuticals Expert Panels: ""KetoNut"", Italian Society of Nutraceuticals (SINut) and the Italian Association of Dietetics and Clinical Nutrition (ADI)",,,,,,,,,,,,,
31925498,"Effectiveness, retention, and safety of modified ketogenic diet in adults with epilepsy at a tertiary-care centre in the UK",,,,,,,,,,,,,
36629058,"Effects of Hypocaloric Low-Fat, Ketogenic, and Ketogenic and Ketone Supplement Diets on Aldosterone and Renin",,,,,,,,,,,,,
33478049,The Ketogenic Diet: Breath Acetone Sensing Technology,,,,,,,,,,,,,
37375632,The Impact of a Very-Low-Calorie Ketogenic Diet in the Gut Microbiota Composition in Obesity,,,,,,,,,,,,,
30225789,Ketogenic Diets for Adult Neurological Disorders,,,,,,,,,,,,,
32546857,Weight loss normalizes enhanced expression of the oncogene survivin in visceral adipose tissue and blood leukocytes from individuals with obesity,,,,,,,,,,,,,
38117229,Advances in the treatment of functional male hypogonadism,,,,,,,,,,,,,
29022562,Ketogenic diet in endocrine disorders: Current perspectives,,,,,,,,,,,,,
3620317,Reduction of weight loss and tumour size in a cachexia model by a high fat diet,,,,,,,,,,,,,
32796164,The biochemistry of low-carbohydrate and ketogenic diets,,,,,,,,,,,,,
34957183,Ketogenic Diet for Obese COVID-19 Patients: Is Respiratory Disease a Contraindication? A Narrative Review of the Literature on Ketogenic Diet and Respiratory Function,,,,,,,,,,,,,
34886528,Very-Low-Calorie Ketogenic Diet: A Potential Treatment for Binge Eating and Food Addiction Symptoms in Women. A Pilot Study,,,,,,,,,,,,,
38814519,Nutritional Considerations During Major Weight Loss Therapy: Focus on Optimal Protein and a Low-Carbohydrate Dietary Pattern,,,,,,,,,,,,,
38049356,"Comment on ""Chronotype as a predictor of weight loss and body composition improvements in women with overweight or obesity undergoing a very low-calorie ketogenic diet (VLCKD)"" clinical nutrition 2023",,,,,,,,,,,,,
18175736,"Effects of a high-protein ketogenic diet on hunger, appetite, and weight loss in obese men feeding ad libitum",,,,,,,,,,,,,
34358793,Very-low-calorie ketogenic diet: An alternative to a pharmacological approach to improve glycometabolic and gonadal profile in men with obesity,,,,,,,,,,,,,
37111126,Very Low-Calorie Ketogenic Diet (VLCKD) as Pre-Operative First-Line Dietary Therapy in Patients with Obesity Who Are Candidates for Bariatric Surgery,,,,,,,,,,,,,
29502279,"A 4-Week Preoperative Ketogenic Micronutrient-Enriched Diet Is Effective in Reducing Body Weight, Left Hepatic Lobe Volume, and Micronutrient Deficiencies in Patients Undergoing Bariatric Surgery: a Prospective Pilot Study",,,,,,,,,,,,,
38556870,Very low-calorie ketogenic diet (VLCKD): a therapeutic nutritional tool for acne?,,,,,,,,,,,,,
34124856,Keyto app and device versus WW app on weight loss and metabolic risk in adults with overweight or obesity: A randomized trial,,,,,,,,,,,,,
35658056,Could the ketogenic diet induce a shift in thyroid function and support a metabolic advantage in healthy participants? A pilot randomized-controlled-crossover trial,,,,,,,,,,,,,
32222582,"Aggressive weight-loss program with a ketogenic induction phase for the treatment of chronic plaque psoriasis: A proof-of-concept, single-arm, open-label clinical trial",,,,,,,,,,,,,
31352797,"A Ketogenic Diet Is Acceptable in Women with Ovarian and Endometrial Cancer and Has No Adverse Effects on Blood Lipids: A Randomized, Controlled Trial",,,,,,,,,,,,,
25610820,The effects of ketogenic diet on oxidative stress and antioxidative capacity markers of Taekwondo athletes,,,,,,,,,,,,,
24049742,Methionine and choline regulate the metabolic phenotype of a ketogenic diet,,,,,,,,,,,,,
36106928,Cost-Effectiveness of Telehealth-Delivered Exercise and Dietary Weight Loss Programs for Knee Osteoarthritis Within a Twelve-Month Randomized Trial,,,,,,,,,,,,,
