PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
36426310,Pre-procedural Antimicrobial Mouth Rinse: A Concise Review,"Hassan S, Dhadse P, Bajaj P, Sethiya K, Subhadarsanee C.",Cureus. 2022 Oct 24,,,,,,,
34123388,Alleviation of halitosis by use of probiotics and their protective mechanisms in the oral cavity,"Karbalaei M, Keikha M, Kobyliak NM, Khatib Zadeh Z, Yousefi B, Eslami M.",New Microbes New Infect. 2021 Apr 23,,,,,,,
37892459,"Polyphenols in Oral Health: Homeostasis Maintenance, Disease Prevention, and Therapeutic Applications","Guo Y, Li Z, Chen F, Chai Y.",Nutrients. 2023 Oct 16,,,,,,,
36067739,Criticism of the organoleptic examination for the diagnosis of oral halitosis,Aydin M.,J Breath Res. 2022 Oct 13,,,,,,,
34753852,"Risk Factors, Diagnosis, and Management of Halitosis in Children: A Comprehensive Review",Bawazir OA.,J Contemp Dent Pract. 2021 Aug 1,,,,,,,
30574220,[Halitosis: multidisciplinary diagnostic and therapeutic approaches],"Sombié R, Tiendrébéogo AJF, Guiguimdé WPL, Guingané A, Tiendrébéogo S, Ouoba K, Bougouma A.",Pan Afr Med J. 2018 Jul 10,,,,,,,
32271327,[The subjective oral health of Parkinson's disease patients],"de Baat C, van Stiphout MAE, Lobbezoo F.",Ned Tijdschr Tandheelkd. 2020 Feb,,,,,,,
32753975,The Underestimated Problem of Intra-Oral Halitosis in Dental Practice: An Expert Consensus Review,"Renvert S, Noack MJ, Lequart C, Roldán S, Laine ML.",Clin Cosmet Investig Dent. 2020 Jul 3,,,,,,,
30647023,Acceptance of a tongue vacuum cleaner among children and evaluation of tongue cleaning at home,"Rickenbacher O, Filippi C, Zürcher A, Filippi A.",Swiss Dent J. 2019 Feb 11,,,,,,,
29364345,Two mechanisms of oral malodor inhibition by zinc ions,"Suzuki N, Nakano Y, Watanabe T, Yoneda M, Hirofuji T, Hanioka T.",J Appl Oral Sci. 2018 Jan 18,,,,,,,
32878578,Oral health and salivary function in ulcerative colitis patients,"Goldinova A, Tan CX, Bouma G, Duijvestein M, Brand HS, de Boer NK.",United European Gastroenterol J. 2020 Nov,,,,,,,
31639775,A simple method to reduce halitosis,,,,,,,,,
34002709,Halitosis and Associated Risk Factors in Children: A Cross-sectional Study,"AlMadhi NA, Sulimany AM, Alzoman HA, Bawazir OA.",J Contemp Dent Pract. 2021 Jan 1,,,,,,,
34554489,Interactions between probiotic and oral pathogenic strains,"Gönczi NN, Strang O, Bagi Z, Rákhely G, Kovács KL.",Biol Futur. 2021 Dec,,,,,,,
37255073,Is bad breath associated with dyspepsia? An association and an equivalence study,"Rodrigues NCP, Abrão Neto A, Nadanovsky P.",Braz Oral Res. 2023 May 29,,,,,,,
35062433,Effect of Photodynamic Therapy on Halitosis: A Systematic Review of Randomized Controlled Trials,"Motta PB, Motta LJ, Campos TM, Gonçalves MLL, Santos EM, Martimbianco ALC, de Andrade DJC, Mesquita-Ferrari RA, Fernandes KPS, Horliana ACRT, Bussadori SK.",Sensors (Basel). 2022 Jan 8,,,,,,,
33653206,"Role of the oral microbiome, metabolic pathways, and novel diagnostic tools in intra-oral halitosis: a comprehensive update","Foo LH, Balan P, Pang LM, Laine ML, Seneviratne CJ.",Crit Rev Microbiol. 2021 May,,,,,,,
34925337,Mucosal Vaccination Against Periodontal Disease: Current Status and Opportunities,"Vaernewyck V, Arzi B, Sanders NN, Cox E, Devriendt B.",Front Immunol. 2021 Dec 2,,,,,,,
35010368,The Effect of Mechanical Tongue Cleaning on Oral Malodor and Tongue Coating,"Choi HN, Cho YS, Koo JW.",Int J Environ Res Public Health. 2021 Dec 23,,,,,,,
32587741,Exploring residential care aide experiences with oral malodour in long-term care,"Dhami CS, Donnelly LR.",Nurs Open. 2020 May 12,,,,,,,
33240372,Oral health knowledge and practice among orthodontic clients in China and New Zealand,"Guo J, Li L, Guan G, Bennani F, Mei L.",Can J Dent Hyg. 2020 Oct 1,,,,,,,
34169558,Clinical and self-reported oral conditions and quality of life in the 1982 Pelotas birth cohort,"Nascimento GG, Goettems ML, Schertel Cassiano L, Horta BL, Demarco FF.",J Clin Periodontol. 2021 Sep,,,,,,,
30733843,Evidence-based strategy for dental biofilms: Current evidence of mouthwashes on dental biofilm and gingivitis,"Takenaka S, Ohsumi T, Noiri Y.",Jpn Dent Sci Rev. 2019 Nov,,,,,,,
30620931,Halitosis: prevalence and association with oral etiological factors in children and adolescents,"Guedes CC, Bussadori SK, Weber R, Motta LJ, Costa da Mota AC, Amancio OMS.",J Breath Res. 2019 Mar 1,,,,,,,
37985343,Safety and Clinical Evaluation of a Sonic Tongue Brush,"Shirakawa S, Nagano T, Matsushima Y, Yashima A, Gomi K.",Int Dent J. 2024 Apr,,,,,,,
34926539,Marine Bioactive Compounds as Nutraceutical and Functional Food Ingredients for Potential Oral Health,"Huang YZ, Jin Z, Wang ZM, Qi LB, Song S, Zhu BW, Dong XP.",Front Nutr. 2021 Dec 2,,,,,,,
32024347,The Efficiency and Acceptance of a Suction Tongue-Cleaning Device in Adults,"Rhyn S, Zürcher A, Ortiz V, Filippi A.",Swiss Dent J. 2020 Feb 6,,,,,,,
34245645,Self-perceived and self-reported breath odour and the wearing of face masks during the COVID-19 pandemic,"Faria SFS, Costa FO, Pereira AG, Cota LOM.",Oral Dis. 2022 Nov,,,,,,,
31664298,Instant and freshness effect of mouth rinses on type 1 (oral) halitosis,"Aydin M, Derici MÇ, Keskek SO, Demir YI, Yeler D.",Acta Odontol Latinoam. 2019 Aug 1,,,,,,,
38163934,Novel Strategies for Preventing Dysbiosis in the Oral Cavity,"Rebelo MB, Oliveira CS, Tavaria FK.",Front Biosci (Elite Ed). 2023 Oct 16,,,,,,,
32610725,Etiology and characteristics of halitosis in patients of a halitosis center in Northern Italy,"Romano F, Pigella E, Guzzi N, Manavella V, Campanelli L, Aimetti M.",Minerva Stomatol. 2020 Jun,,,,,,,
37425559,Dental Health Knowledge Attitude and Practice Among University of Calabar Students,"Okoroafor CC, Okobi OE, Owodeha-Ashaka M, Okobi E, Oluseye B, Ekpang OB, Aya LE, Owolabi OJ, Oru-Betem TE, Nwafor JN.",Cureus. 2023 Jun 6,,,,,,,
35924391,"Prevalence of halitosis among young adults in Dunedin, New Zealand","Yu WW, Goh R, Cheong E, Guan G, Jin C, Cannon RD, Farella M, Mei L.",Int J Dent Hyg. 2022 Nov,,,,,,,
33291281,"Awareness and Practice of Oral Health Measures in Medina, Saudi Arabia: An Observational Study","Saadaldina SA, Eldwakhly E, Alnazzawi AA, Alharbi RA, Alghamdi BK, Abu Hammad OA, Soliman M.",Int J Environ Res Public Health. 2020 Dec 6,,,,,,,
30970113,A new technique for tongue brushing and halitosis reduction: the X technique,"Gonçalves ACS, Martins MCN, Paula BL, Weckwerth PH, Franzolin SOB, Silveira EMV.",J Appl Oral Sci. 2019 Apr 1,,,,,,,
29168154,The Effect of Probiotics on Halitosis: a Systematic Review and Meta-analysis,"Yoo JI, Shin IS, Jeon JG, Yang YM, Kim JG, Lee DW.",Probiotics Antimicrob Proteins. 2019 Mar,,,,,,,
31022704,"Oral probiotics reduce halitosis in patients wearing orthodontic braces: a randomized, triple-blind, placebo-controlled trial","Benic GZ, Farella M, Morgan XC, Viswam J, Heng NC, Cannon RD, Mei L.",J Breath Res. 2019 May 31,,,,,,,
29377970,[A PhD completed. Prevention and treatment of periodontal diseases and bad breath],"van der Sluijs E, Slot DE, van der Weijden GA.",Ned Tijdschr Tandheelkd. 2018 Jan,,,,,,,
34028827,"Salivary β-galactosidase, halitosis parameters in periodontal health and disease, and their changes after periodontal treatment","Aliyev B, Pasaoglu O, Pasaoglu H, Gungor K, Guner E, Celik B, Tuter G.",Aust Dent J. 2021 Dec,,,,,,,
34041178,"Knowledge, attitudes and behaviour towards oral hygiene of transgenders in Bhubaneswar during COVID-19","Kumar G, Sethi AK, Bagchi A, Rai S, Tamilselvan P.",J Family Med Prim Care. 2021 Mar,,,,,,,
35268826,Exploring the Potential of Natural Product-Based Nanomedicine for Maintaining Oral Health,"Kumar R, Mirza MA, Naseef PP, Kuruniyan MS, Zakir F, Aggarwal G.",Molecules. 2022 Mar 7,,,,,,,
36696467,Illness perception amongst individuals with periodontal diseases,"Joudi A, Sargeran K, Pouraskari Z, Darijani ME, Golrezaei J, Hessari H.",Community Dent Health. 2023 Feb 28,,,,,,,
33535384,Relationship between Fixed Dental Crowns and Volatile Sulphur Compounds,"Alzoman H, Rashid Habib S, Alghamdi S, Al-Juhani H, Daabash R, Al-Khalid W, Al-Askar M, Al-Johany S.",Int J Environ Res Public Health. 2021 Feb 1,,,,,,,
35127785,Role of Probiotics in Halitosis of Oral Origin: A Systematic Review and Meta-Analysis of Randomized Clinical Studies,"López-Valverde N, López-Valverde A, Macedo de Sousa B, Rodríguez C, Suárez A, Aragoneses JM.",Front Nutr. 2022 Jan 21,,,,,,,
35523316,"A Narrative Review of the Diagnosis, Etiology, and Treatment of Halitosis Over the Past Three Decades","Froum SJ, Shi Y, Reis N, Asvaplungprohm T.",Compend Contin Educ Dent. 2022 May,,,,,,,
33757506,Oral probiotic activities and biosafety of Lactobacillus gasseri HHuMIN D,"Mann S, Park MS, Johnston TV, Ji GE, Hwang KT, Ku S.",Microb Cell Fact. 2021 Mar 23,,,,,,,
38801476,The association between halitosis and periodontitis: a systematic review and meta-analysis,"Nini W, Chen L, Jinmei Z, Lufei W, Jingmei Y.",Clin Oral Investig. 2024 May 27,,,,,,,
32878006,Stannous Fluoride Effects on Enamel: A Systematic Review,"Fiorillo L, Cervino G, Herford AS, Laino L, Cicciù M.",Biomimetics (Basel). 2020 Aug 31,,,,,,,
34612518,Tongue cleaning in the elderly and its role in the respiratory and swallowing functions: Benefits and medical perspectives,"Izumi M, Akifusa S.",J Oral Rehabil. 2021 Dec,,,,,,,
38764155,Probiotics for maintaining oral health during fixed orthodontic treatment: A systematic review and meta-analysis,"Robin V, Wim T, Maria CL, Isabelle L.",Int J Dent Hyg. 2024 May 19. doi: 10.1111/idh.12821. Online ahead of print.,Robin V,Int J Dent Hyg,2024,5/20/2024,,,10.1111/idh.12821
34007216,The Prevalence and Determinant Factors of Oral Halitosis in Northwest Ethiopia: A Cross-Sectional Study,"Teshome A, Derese K, Andualem G.",Clin Cosmet Investig Dent. 2021 May 11,,,,,,,
33525419,"Effects of Oral Probiotics on Subjective Halitosis, Oral Health, and Psychosocial Health of College Students: A Randomized, Double-Blind, Placebo-Controlled Study","Lee DS, Kim M, Nam SH, Kang MS, Lee SA.",Int J Environ Res Public Health. 2021 Jan 28,,,,,,,
37082053,Awareness of probiotics among dental practitioners of Puducherry-A cross-sectional questionnaire study,"Santhanam V, Devi M, Aravindan R, Suganya R, Aroumugam S, Babu MA.",J Oral Maxillofac Pathol. 2022 Oct-Dec,,,,,,,
34884262,"The Problem of Halitosis in Prosthetic Dentistry, and New Approaches to Its Treatment: A Literature Review","Wyszyńska M, Nitsze-Wierzba M, Białożyt-Bujak E, Kasperski J, Skucha-Nowak M.",J Clin Med. 2021 Nov 26,,,,,,,
36422753,Effectiveness of lasers and aPDT in elimination of intraoral halitosis: a systematic review based on clinical trials,"Woźniak A, Matys J, Grzech-Leśniak K.",Lasers Med Sci. 2022 Dec,,,,,,,
35473616,"Knowledge, attitudes and professional practices of ortho-periodontal care of adults: a cross-sectional survey in France","Saloux A, Couatarmanach A, Chauvel B, Jeanne S, Brezulier D.",BMC Oral Health. 2022 Apr 26,,,,,,,
35042209,Case-control study related to the use of L-cysteine in the differential diagnosis of oral halitosis,"Simpione G, Reia VCB, Santaella NG, Maluf G, Santos PSDS.",J Breath Res. 2022 Feb 2,,,,,,,
34505401,The effects of cigarette smoking on the salivary and tongue microbiome,"Suzuki N, Nakano Y, Yoneda M, Hirofuji T, Hanioka T.",Clin Exp Dent Res. 2022 Feb,,,,,,,
34248153,Relationship Between Halitosis and Periodontitis: a Pilot Study,"Musić L, Par M, Peručić J, Badovinac A, Plančak D, Puhar I.",Acta Stomatol Croat. 2021 Jun,,,,,,,
37056747,Beneficial modulation of human health in the oral cavity and beyond using bacteriocin-like inhibitory substance-producing streptococcal probiotics,"Tagg JR, Harold LK, Jain R, Hale JDF.",Front Microbiol. 2023 Mar 28,,,,,,,
32315210,Characterization of oral bacteria in the tongue coating of patients with halitosis using 16S rRNA analysis,"Oshiro A, Zaitsu T, Ueno M, Kawaguchi Y.",Acta Odontol Scand. 2020 Oct,,,,,,,
36535943,The tongue biofilm metatranscriptome identifies metabolic pathways associated with the presence or absence of halitosis,"Carda-Diéguez M, Rosier BT, Lloret S, Llena C, Mira A.",NPJ Biofilms Microbiomes. 2022 Dec 19,,,,,,,
37626337,Frequency tongue coating in patients referred to Kerman Dental School and its relationship with relative factors,"Abbaszadeh E, Navabi N, Karimi Afshar S, Hashemipour MA.",BMC Oral Health. 2023 Aug 25,,,,,,,
32790926,Microbiome variations in preschool children with halitosis,"Zhang Y, Zhu C, Feng X, Chen X.",Oral Dis. 2021 May,,,,,,,
33718263,Dynamic Alterations of Oral Microbiota Related to Halitosis in Preschool Children,"Zhang Y, Zhu C, Cao G, Zhan J, Feng X, Chen X.",Front Cell Infect Microbiol. 2021 Feb 26,,,,,,,
32738007,Screening for prevalence and abundance of Capnocytophaga spp by analyzing NGS data: A scoping review,"Jolivet-Gougeon A, Bonnaure-Mallet M.",Oral Dis. 2021 Oct,,,,,,,
37654333,"Knowledge and Attitude of Dental Practitioners about Probiotics in Alkharj, Kingdom of Saudi Arabia","Gowdar IM, Aljuma A, Alenazi N, Alqahtani O, Altayyar T, Almiqren A.",J Pharm Bioallied Sci. 2023 Jul,,,,,,,
37503575,The effect of mastic mouthwash on halitosis and oral hygiene in orthodontic patients: a randomized clinical trial,"Tsironi K, Mylonopoulou IM, Pandis N, Vassilopoulos S, Sifakakis I, Papaioannou W.",Eur J Orthod. 2023 Nov 30,,,,,,,
32810155,Self-reported and clinical periodontal conditions in a group of Eastern European postpartum women,"Micu IC, Bolboacă SD, Caracostea GV, Gligor D, Ciurea A, Iozon S, Soancă A, Mureșan D, Roman A.",PLoS One. 2020 Aug 18,,,,,,,
33238198,"Oral hygiene associated with antimicrobial photodynamic therapy or lingual scraper in the reduction of halitosis after 90 days follow up: A randomized, controlled, single-blinded trial","Romero SS, do Vale KL, Remolina VG, Silva TG, Schalch TO, Ramalho KM, Negreiros RM, Ando ES, Mayer MPA, Mesquita Ferrari RA, Motta LJ, Fernandes KPS, Bussadori SK, Horliana ACRT.",Photodiagnosis Photodyn Ther. 2021 Mar,,,,,,,
30334433,Microbiological results of improvement in periodontal condition by administration of oral probiotics,"Inchingolo F, Dipalma G, Cirulli N, Cantore S, Saini RS, Altini V, Santacroce L, Ballini A, Saini R.",J Biol Regul Homeost Agents. 2018 Sep-Oct,,,,,,,
35664954,Self-reported halitosis and associated factors among older adults: A cross-sectional study,"Moreno LB, Colussi PRG, Marostega MG, Rosalen NP, Rösing CK, Muniz FWMG.",J Oral Biol Craniofac Res. 2022 Jul-Aug,,,,,,,
35641105,Oral microbiota populations of adult dogs consuming wet or dry foods,"Oba PM, Sieja KM, Keating SCJ, Hristova T, Somrak AJ, Swanson KS.",J Anim Sci. 2022 Aug 1,,,,,,,
31981254,Periodontitis and self-reported halitosis among young adults from the 1982 Pelotas Birth Cohort,"Silva MF, Nascimento GG, Leite FRM, Horta BL, Demarco FF.",Oral Dis. 2020 May,,,,,,,
35700696,Hematological biomarkers of systemic inflammation in genuine (physiologic and pathologic) halitosis,"Park S, Jo JH, Kim YK, Park JW.",J Breath Res. 2022 Jun 23,,,,,,,
31553956,Relationship of tongue coating microbiome on volatile sulfur compounds in healthy and halitosis adults,"Ye W, Zhang Y, He M, Zhu C, Feng XP.",J Breath Res. 2019 Nov 19,,,,,,,
33660384,The association between halitosis and chemosensory disorders: A systematic review,"Schertel Cassiano L, Leite FRM, López R, Fjaeldstad AW, Nascimento GG.",Oral Dis. 2023 Mar,,,,,,,
36739506,Psychological factors and oral health during initial outbreak of COVID-19 in China: A cross-sectional study,"Sun Q, Ren H, Bian Y, Xie Y, Shi H.",J Int Med Res. 2023 Feb,,,,,,,
34486723,"Interdental and subgingival microbiota may affect the tongue microbial ecology and oral malodour in health, gingivitis and periodontitis","Stephen AS, Dhadwal N, Nagala V, Gonzales-Marin C, Gillam DG, Bradshaw DJ, Burnett GR, Allaker RP.",J Periodontal Res. 2021 Dec,,,,,,,
30866896,Prevalence and relevant factors of halitosis in Chinese subjects: a clinical research,"Du M, Li L, Jiang H, Zheng Y, Zhang J.",BMC Oral Health. 2019 Mar 13,,,,,,,
32623645,Role of Probiotics in Oral Health Maintenance Among Patients Undergoing Fixed Orthodontic Therapy: a Systematic Review of Randomized Controlled Clinical Trials,"Pietri FK, Rossouw PE, Javed F, Michelogiannakis D.",Probiotics Antimicrob Proteins. 2020 Dec,,,,,,,
