PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
30454592,Panting as a human heat loss thermoeffector,White MD.,Handb Clin Neurol. 2018,,,,,,,
34391123,"Exertional heat stress and sodium balance: Leaders, followers, and adaptations",McCubbin AJ.,Auton Neurosci. 2021 Nov,,,,,,,
28240705,Skin Tattoos Alter Sweat Rate and Na+ Concentration,"Luetkemeier MJ, Hanisko JM, Aho KM.",Med Sci Sports Exerc. 2017 Jul,,,,,,,
39196843,"Using Neuromodulators for Salivary, Eccrine, and Apocrine Gland Disorders","Rajanala S, Salame N, Dover JS.",Dermatol Surg. 2024 Sep 1,,,,,,,
32306875,Are humans constantly but subconsciously smelling themselves?,"Perl O, Mishor E, Ravia A, Ravreby I, Sobel N.",Philos Trans R Soc Lond B Biol Sci. 2020 Jun 8,,,,,,,
34067262,Perfume and Flavor Engineering: A Chemical Engineering Perspective,"Rodrigues AE, Nogueira I, Faria RPV.",Molecules. 2021 May 22,,,,,,,
27584962,Histamine Modulates Sweating and Affects Clinical Manifestations of Atopic Dermatitis,"Takahashi A, Tani S, Murota H, Katayama I.",Curr Probl Dermatol. 2016,,,,,,,
27584963,Sweating in Systemic Abnormalities: Uremia and Diabetes Mellitus,Murota H.,Curr Probl Dermatol. 2016,,,,,,,
34173932,The scent of attraction and the smell of success: crossmodal influences on person perception,Spence C.,Cogn Res Princ Implic. 2021 Jun 26,,,,,,,
27071988,"Thermoregulation, Fluid Balance, and Sweat Losses in American Football Players","Davis JK, Baker LB, Barnes K, Ungaro C, Stofan J.",Sports Med. 2016 Oct,,,,,,,
36508579,"Humidity-/Sweat-Sensitive Electronic Skin with Antibacterial, Antioxidation, and Ultraviolet-Proof Functions Constructed by a Cross-Linked Network","Wen L, Xie D, Wu J, Liang Y, Zhang Y, Li J, Xu C, Lin B.",ACS Appl Mater Interfaces. 2022 Dec 21,,,,,,,
36546419,Differential antigen expression between human apocrine sweat glands and eccrine sweat glands,"Cao M, Zhang L, Chen J, Wang C, Zhao J, Liu X, Yan Y, Tang Y, Chen Z, Li H.",Eur J Histochem. 2023 Jan 2,,,,,,,
31617311,Advanced Wearable Microfluidic Sensors for Healthcare Monitoring,"Li S, Ma Z, Cao Z, Pan L, Shi Y.",Small. 2020 Mar,,,,,,,
32232657,"Permanent tattooing has no impact on local sweat rate, sweat sodium concentration and skin temperature or prediction of whole-body sweat sodium concentration during moderate-intensity cycling in a warm environment","Beliveau J, Perreault-Briere M, Jeker D, Deshayes TA, Durán-Suárez A, Baker LB, Goulet EDB.",Eur J Appl Physiol. 2020 May,,,,,,,
37673129,Orthonasal olfactory influences on consumer food behaviour,"Zhang T, Spence C.",Appetite. 2023 Nov 1,,,,,,,
36260022,A headspace collection chamber for whole body volatilomics,"Rankin-Turner S, McMeniman CJ.",Analyst. 2022 Nov 7,,,,,,,
36542172,The PROUST hypothesis: the embodiment of olfactory cognition,Jacobs LF.,Anim Cogn. 2023 Jan,,,,,,,
25894655,Sweating on the palm and sole: physiological and clinical relevance,"Asahina M, Poudel A, Hirano S.",Clin Auton Res. 2015 Jun,,,,,,,
29745799,"Sweat from gland to skin surface: production, transport, and skin absorption","Gerrett N, Griggs K, Redortier B, Voelcker T, Kondo N, Havenith G.",J Appl Physiol (1985). 2018 Aug 1,,,,,,,
33622150,A case series evaluating microwave-based therapy for axillary hyperhidrosis and bromhidrosis,"Mohamoud AA, Zeraiq L, Vestergaard T.",J Dermatolog Treat. 2022 May,,,,,,,
37043225,A versatile artificial skin platform for sweat sensor development,"Moonen EJM, Ul Islam T, van Kemenade S, Pelssers E, Heikenfeld J, den Toonder JMJ.",Lab Chip. 2023 May 2,,,,,,,
37516230,Intrinsic and extrinsic factors affecting axillary odor variation. A comprehensive review,"Di Cicco F, Evans RL, James AG, Weddell I, Chopra A, Smeets MAM.",Physiol Behav. 2023 Oct 15,,,,,,,
31850965,"Axillary Osmidrosis: Past, Present, and Future","Morioka D, Nomura M, Lan L, Tanaka R, Kadomatsu K.",Ann Plast Surg. 2020 Jun,,,,,,,
32306870,The specific biochemistry of human axilla odour formation viewed in an evolutionary context,"Natsch A, Emter R.",Philos Trans R Soc Lond B Biol Sci. 2020 Jun 8,,,,,,,
36902003,Molecular and Physiological Functions of PACAP in Sweat Secretion,"Yamashita M, Shibato J, Rakwal R, Nonaka N, Hirabayashi T, Harvey BJ, Shioda S, Takenoya F.",Int J Mol Sci. 2023 Feb 26,,,,,,,
37212774,Upregulation of ITGB6 in primary palmar hyperhidrosis,"Lin JB, Chen YX, Lin NL, Li X.",Adv Clin Exp Med. 2023 Dec,,,,,,,
33955182,Wireless and Flexible Skin Moisture and Temperature Sensor Sheets toward the Study of Thermoregulator Center,"Lu Y, Fujita Y, Honda S, Yang SH, Xuan Y, Xu K, Arie T, Akita S, Takei K.",Adv Healthc Mater. 2021 Sep,,,,,,,
27692203,Management of Compensatory Sweating After Sympathetic Surgery,"Wolosker N, Milanez de Campos JR, Fukuda JM.",Thorac Surg Clin. 2016 Nov,,,,,,,
24703267,"Pitted keratolysis, erythromycin, and hyperhidrosis","Pranteda G, Carlesimo M, Pranteda G, Abruzzese C, Grimaldi M, De Micco S, Muscianese M, Bottoni U.",Dermatol Ther. 2014 Mar-Apr,,,,,,,
24577280,Systematic review focusing on the excretion and protection roles of sweat in the skin,"Peng Y, Cui X, Liu Y, Li Y, Liu J, Cheng B.",Dermatology. 2014,,,,,,,
39080076,A comparative evaluation of the role of olfaction in attachment,"Cox E, Collins-Pisano C, Montgomery L, Katz JS.",Anim Cogn. 2024 Jul 30,,,,,,,
34780484,The role of fragrance and self-esteem in perception of body odors and impressions of others,"Croijmans I, Beetsma D, Aarts H, Gortemaker I, Smeets M.",PLoS One. 2021 Nov 15,,,,,,,
25266651,"Sweat, the driving force behind normal skin: an emerging perspective on functional biology and regulatory mechanisms","Murota H, Matsui S, Ono E, Kijima A, Kikuta J, Ishii M, Katayama I.",J Dermatol Sci. 2015 Jan,,,,,,,
32306873,Interdisciplinary challenges for elucidating human olfactory attractiveness,"Ferdenzi C, Richard Ortegón S, Delplanque S, Baldovini N, Bensafi M.",Philos Trans R Soc Lond B Biol Sci. 2020 Jun 8,,,,,,,
26627337,Sympathetic regulation during thermal stress in human aging and disease,"Greaney JL, Kenney WL, Alexander LM.",Auton Neurosci. 2016 Apr,,,,,,,
32306883,Encoding fear intensity in human sweat,"de Groot JHB, Kirk PA, Gottfried JA.",Philos Trans R Soc Lond B Biol Sci. 2020 Jun 8,,,,,,,
24660938,What determines human body odour?,"Hamada K, Haruyama S, Yamaguchi T, Yamamoto K, Hiromasa K, Yoshioka M, Nishio D, Nakamura M.",Exp Dermatol. 2014 May,,,,,,,
27584959,Old and New Approaches for Assessing Sweating,Murota H.,Curr Probl Dermatol. 2016,,,,,,,
25870406,A sniff of happiness,"de Groot JH, Smeets MA, Rowson MJ, Bulsing PJ, Blonk CG, Wilkinson JE, Semin GR.",Psychol Sci. 2015 Jun,,,,,,,
28684591,CORP: Improving the status quo for measuring whole body sweat losses,"Cheuvront SN, Kenefick RW.",J Appl Physiol (1985). 2017 Sep 1,,,,,,,
26476248,"Selected Disorders of Skin Appendages--Acne, Alopecia, Hyperhidrosis",Vary JC Jr.,Med Clin North Am. 2015 Nov,,,,,,,
28963129,Trapped sweat in basketball uniforms and the effect on sweat loss estimates,"Baker LB, Reimel AJ, Sopeña BC, Barnes KA, Nuccio RP, De Chavez PJD, Stofan JR, Carter JM.",Physiol Rep. 2017 Sep,,,,,,,
27506727,Effective axillary malodour reduction by polyquaternium-16-containing deodorants,"Traupe B, Fölster H, Max H, Schulz J.",Int J Cosmet Sci. 2017 Apr,,,,,,,
34882779,The smell of cooperativeness: Do human body odours advertise cooperative behaviours?,"Tognetti A, Durand V, Dubois D, Barkat-Defradas M, Hopfensitz A, Ferdenzi C.",Br J Psychol. 2022 May,,,,,,,
37146312,Factors Affecting Postoperative Complications of Suction-Curettage by Arthroscopic Shaver for Bromhidrosis,"Chen KH, Changchien CH, Fang CL, Yang CS, Tsai CB, Chen MS, Yang HY.",Ann Plast Surg. 2023 May 1,,,,,,,
26674572,Sex hormone effects on autonomic mechanisms of thermoregulation in humans,"Charkoudian N, Stachenfeld N.",Auton Neurosci. 2016 Apr,,,,,,,
34881383,Printed microfluidic sweat sensing platform for cortisol and glucose detection,"Naik AR, Zhou Y, Dey AA, Arellano DLG, Okoroanyanwu U, Secor EB, Hersam MC, Morse J, Rothstein JP, Carter KR, Watkins JJ.",Lab Chip. 2021 Dec 21,,,,,,,
38087426,Immunoactivation Affects Perceived Body Odor and Facial but Not Vocal Attractiveness,"Schwambergová D, Pátková Ž, Třebická Fialová J, Třebický V, Stella D, Havlíček J.",Evol Psychol. 2023 Oct-Dec,,,,,,,
34267584,Augmentation Index Predicts the Sweat Volume in Young Runners,"Liu YY, Hung CL, Sun FJ, Huang PH, Cheng YF, Yeh HI.",J Sports Sci Med. 2021 May 25,,,,,,,
38411394,"Wearable sweat chloride sensors: materials, fabrication and their applications","Patel V, Mardolkar A, Shelar A, Tiwari R, Srivastava R.",Anal Methods. 2024 Mar 7,,,,,,,
34044464,Long-Term Outcomes and Course of Compensatory Sweating after Endoscopic Sympathicotomy,"Turhan K, Kavurmaci Ö, Akçam Tİ, Ergönül AG, Özdil A, Çakan A, Çağirici U.",Thorac Cardiovasc Surg. 2022 Mar,,,,,,,
34411664,Evaluation of compensatory hyperhidrosis after sympathectomy: The use of an objective method,"Yazbek G, Ishy A, Alexandrino da Silva MF, Sposato Louzada AC, de Campos JRM, Kauffman P, Tedde ML, Puech-Leão P, Pêgo-Fernandes PM, Wolosker N.",Ann Vasc Surg. 2021 Nov,,,,,,,
38064363,Measuring the Salt Content of Sweat inside a Sweat-Absorbing Skin Adhesive,"Eiler J, Ehtiati K, Sørensen IE, Thormann E.",ACS Appl Bio Mater. 2024 Jan 15,,,,,,,
32306884,Major histocompatibility complex-associated odour preferences and human mate choice: near and far horizons,"Havlíček J, Winternitz J, Roberts SC.",Philos Trans R Soc Lond B Biol Sci. 2020 Jun 8,,,,,,,
32555915,Skin-interfaced microfluidic devices with one-opening chambers and hydrophobic valves for sweat collection and analysis,"Zhang Y, Chen Y, Huang J, Liu Y, Peng J, Chen S, Song K, Ouyang X, Cheng H, Wang X.",Lab Chip. 2020 Aug 7,,,,,,,
29889551,Could the Olfactory System Be a Target for Homeopathic Remedies as Nanomedicines?,"Courtens F, Demangeat JL, Benabdallah M.",J Altern Complement Med. 2018 Nov,,,,,,,
35482541,Sweat Characteristics in Individuals With Varying Susceptibilities of Exercise-Associated Muscle Cramps,"Szymanski M, Miller KC, O'Connor P, Hildebrandt L, Umberger L.",J Strength Cond Res. 2022 May 1,,,,,,,
26582610,Sweating the small stuff: Glycoproteins in human sweat and their unexplored potential for microbial adhesion,"Peterson RA, Gueniche A, Adam de Beaumais S, Breton L, Dalko-Csiba M, Packer NH.",Glycobiology. 2016 Mar,,,,,,,
39361704,Primary Hyperhidrosis and Sensitive Skin: Exploring the Link with Predictive Machine Learning-Based Classification Models,"McCormick ET, Choi JM, Azim SA, Whiting C, Pieretti L, Zhang L, Friedman A.",J Drugs Dermatol. 2024 Oct 1,,,,,,,
29955865,Global Study of Social Odor Awareness,"Sorokowska A, Groyecka A, Karwowski M, Frackowiak T, Lansford JE, Ahmadi K, Alghraibeh AM, Aryeetey R, Bertoni A, Bettache K, Blumen S, Blazejewska M, Bortolini T, Butovskaya M, Cantarero K, Castro FN, Cetinkaya H, Chang L, Chen BB, Cunha D, David D, David OA, Dileym FA, Domínguez Espinosa ADC, Donato S, Dronova D, Dural S, Fialová J, Fisher M, Gulbetekin E, Hamamcioglu Akkaya A, Hilpert P, Hromatko I, Iafrate R, Iesyp M, James B, Jaranovic J, Jiang F, Kimamo CO, Kjelvik G, Koç F, Laar A, Lopes FA, Macbeth G, Marcano NM, Martinez R, Mesko N, Molodovskaya N, Moradi Qezeli K, Motahari Z, Mühlhauser A, Natividade JC, Ntayi J, Oberzaucher E, Ojedokun O, Omar-Fauzee MSB, Onyishi IE, Paluszak A, Pierce JD Jr, Pillay U, Portugal A, Razumiejczyk E, Realo A, Relvas AP, Rivas M, Rizwan M, Salkicevic S, Sarmány-Schuller I, Schmehl S, Senyk O, Sinding C, Sorbring E, Stamkou E, Stoyanova S, Šukolová D, Sutresna N, Tadinac M, Tapanya S, Teras A, Tinoco Ponciano EL, Tripathi R, Tripathi N, Tripathi M, Uhryn O, Yamamoto ME, Yoo G, Sorokowski P.",Chem Senses. 2018 Aug 24,,,,,,,
32454460,Normative Data for Sweat Rate and Whole-Body Sodium Concentration in Athletes Indigenous to Tropical Climate,"Rivera-Brown AM, Quiñones-González JR.",Int J Sport Nutr Exerc Metab. 2020 Jul 1,,,,,,,
36227164,"Explaining variation in sweat sodium concentration: effect of individual characteristics and exercise, environmental, and dietary factors","Baker LB, De Chavez PJD, Nuccio RP, Brown SD, King MA, Sopeña BC, Barnes KA.",J Appl Physiol (1985). 2022 Dec 1,,,,,,,
38522571,Sweat Protects against Contact Hypersensitivity: Transient Sweat Suppression Compromises Skin Barrier Function in Mice,"Ishimaru H, Nakamoto K, Yamane M, Yamamoto T, Kitakaze K, Takenouchi Y, Tsuboi K, Okamoto Y, Aoyama Y.",J Invest Dermatol. 2024 Oct,,,,,,,
34325159,"Abnormal sweating and ""skin flushing"" as possible predictive factor for treatment related fluctuations in Guillain-Barré syndrome: a case series and a review of the literature","Demichelis C, Grisanti S, Massa F, Serrati C, Beronio A, Mannironi A, Mobilia E, Briani C, Schenone A, Benedetti L.",J Neurol Sci. 2021 Sep 15,,,,,,,
35393764,Antagonist of Chrna1 prevents the pathogenesis of primary focal hyperhidrosis,"Lin JB, Lin NL, Li X, Kang MQ.",Ann Clin Transl Neurol. 2022 Jun,,,,,,,
36400385,Axillary fossaa microbial dysbiosis and its relationship with axillary osmidrosis patients,"Li H, Qin G, Zhang J, Jia X, Ishaq HM, Yang H, Wu S, Xu J.",Microb Pathog. 2022 Dec,,,,,,,
36622082,Effect of reflex and mechanical decreases in skin perfusion on thermal- and agonist-induced eccrine sweating in humans,"Metzler-Wilson K, Fang MM, Alibegovic K, Daggett JW, Narra SC, Dazé RP, Miller OG, Wilson TE.",Am J Physiol Regul Integr Comp Physiol. 2023 Mar 1,,,,,,,
26070030,Normative data for regional sweat sodium concentration and whole-body sweating rate in athletes,"Baker LB, Barnes KA, Anderson ML, Passe DH, Stofan JR.",J Sports Sci. 2016,,,,,,,
30292251,Two facets of sweat: A defensive factor in skin tissues and an accelerating factor for allergic skin diseases,"Yokozeki H, Izuhara K.",Allergol Int. 2018 Oct,,,,,,,
38361387,Thermoresponsive Skin-like Fabric for Personal Comfort and Protection,"Pu Y, Fan J.",ACS Appl Mater Interfaces. 2024 Feb 28,,,,,,,
24117755,Physiological effect of olfactory stimuli inhalation in humans: an overview,"Angelucci FL, Silva VV, Dal Pizzol C, Spir LG, Praes CE, Maibach H.",Int J Cosmet Sci. 2014 Apr,,,,,,,
37209680,Human scent guides mosquito thermotaxis and host selection under naturalistic conditions,"Giraldo D, Rankin-Turner S, Corver A, Tauxe GM, Gao AL, Jackson DM, Simubali L, Book C, Stevenson JC, Thuma PE, McCoy RC, Gordus A, Mburu MM, Simulundu E, McMeniman CJ.",Curr Biol. 2023 Jun 19,,,,,,,
35908610,Do you often sniff yourself or others? Development of the Body Odor Sniffing Questionnaire and a cross-cultural survey in China and the USA,"Li ZL, Yue Qi, Mahmut MK, Zou LQ.",Physiol Behav. 2022 Oct 15,,,,,,,
36321445,Enhancing Sweat Rate Using a Novel Device for the Treatment of Congestion in Heart Failure,"Aronson D, Nitzan Y, Petcherski S, Bravo E, Habib M, Burkhoff D, Abraham WT.",Circ Heart Fail. 2023 Jan,,,,,,,
31077678,"The role of body odors and olfactory ability in the initiation, maintenance and breakdown of romantic relationships - A review","Mahmut MK, Croy I.",Physiol Behav. 2019 Aug 1,,,,,,,
35588293,"And I'm feeling good: effect of emotional sweat and perfume on others' physiology, verbal responses, and creativity","Richard Ortegón S, Fournel A, Carlos O, Kawabata Duncan K, Hirabayashi K, Tagai K, Abriat A, Bensafi M, Race B, Ferdenzi C.",Chem Senses. 2022 Jan 1,,,,,,,
28506659,Comparison of density and output of sweat gland in tropical Africans and temperate Koreans,"Lee J, Shin Y.",Auton Neurosci. 2017 Jul,,,,,,,
28936748,Quantity and quality of sweating in atopic dermatitis,"Wruhs M, Gleiß A, Steiner A, Sator P.",Arch Dermatol Res. 2017 Dec,,,,,,,
37972578,Olfactory Cues of Naturally Occurring Systemic Inflammation: A Pilot Study of Seasonal Allergy,"Tognetti A, Saluja S, Lybert N, Lasselin J, Tamm S, Lensmar C, Karshikoff B, Cervenka S, Lekander M, Olsson MJ.",Neuroimmunomodulation. 2023,,,,,,,
33605814,Human ectopic olfactory receptors and their food originated ligands: a review,"Raka RN, Wu H, Xiao J, Hossen I, Cao Y, Huang M, Jin J.",Crit Rev Food Sci Nutr. 2022,,,,,,,
29669433,Investigation on aetiological factors in patients with hyperhidrosis,"Akbaş A, Kilinç F.",Cutan Ocul Toxicol. 2018 Dec,,,,,,,
34747140,"A Skin-Interfaced, Miniaturized Microfluidic Analysis and Delivery System for Colorimetric Measurements of Nutrients in Sweat and Supply of Vitamins Through the Skin","Kim J, Wu Y, Luan H, Yang DS, Cho D, Kwak SS, Liu S, Ryu H, Ghaffari R, Rogers JA.",Adv Sci (Weinh). 2022 Jan,,,,,,,
31422758,Sweat distribution and perceived wetness across the human foot: the effect of shoes and exercise intensity,"West AM, Tarrier J, Hodder S, Havenith G.",Ergonomics. 2019 Nov,,,,,,,
37121512,In vivo assessments of microneedle arrays and iontophoresis of pilocarpine in human palmar sweating,"Amano T, Fujii N, Quan YS, Kenny GP, Kondo N, Yamashita H, Inoue Y.",J Control Release. 2023 Jun,,,,,,,
31714456,Sweat Loss and Fluid Intake of Female Varsity Ice Hockey Players During On-Ice Practices and Games,"Bigg JL, Gamble ASD, Vermeulen TF, Bigg LM, Spriet LL.",J Strength Cond Res. 2020 Feb,,,,,,,
37526921,Wearable Flexible Perspiration Biosensors Using Laser-Induced Graphene and Polymeric Tape Microfluidics,"Garland NT, Schmieder J, Johnson ZT, Hjort RG, Chen B, Andersen C, Sanborn D, Kjeldgaard G, Pola CC, Li J, Gomes C, Smith EA, Angus H, Meyer J, Claussen JC.",ACS Appl Mater Interfaces. 2023 Aug 16,,,,,,,
38135110,Olfactory self-inspection: Own body odour provides cues to one's health and hygiene status,"Schwambergová D, Třebická Fialová J, Havlíček J.",Physiol Behav. 2024 Mar 1,,,,,,,
33006218,The sweat glands' maximum ion reabsorption rates following heat acclimation in healthy older adults,"Gerrett N, Amano T, Inoue Y, Kondo N.",Exp Physiol. 2021 Jan,,,,,,,
24654700,Endoscopic surgical treatment of bromhidrosis: a report of 18 consecutive patients from 2010 to 2013,"Hu X, Zhang Y, Miao X, Dou H, Zhang K, Zhou X, Wang T.",J Laparoendosc Adv Surg Tech A. 2014 May,,,,,,,
33565777,Factors Affecting the Efficacy of Suction Curettage Using an Arthroscopic Shaver for Bromhidrosis,"Fang CL, Tsai CB, Chen MS, Yang HY, Fang KJ.",Dermatol Surg. 2021 Feb 1,,,,,,,
31292841,"Sweat and vitamin D status in congenital, lifetime, untreated GH deficiency","Barros-Oliveira CS, Salvatori R, Dos Santos JSS, Santos PFC, Oliveira-Santos AA, Marinho CG, Santos EG, Leal ÂCGB, Campos VC, Damascena NP, Oliveira CRP, Aguiar-Oliveira MH.",Endocrine. 2019 Sep,,,,,,,
35997908,"Sniffing of Body Odors and Individual Significance of Olfaction Are Associated with Sexual Desire: A Cross-Cultural Study in China, India, and the USA","Li ZL, Hummel T, Zou LQ.",Arch Sex Behav. 2022 Nov,,,,,,,
29105107,Sunscreen formulations do not interfere with sweat cooling during exercise,"Ou-Yang H, Meyer K, Houser T, Grove G.",Int J Cosmet Sci. 2018 Feb,,,,,,,
37917185,Skin-Integrated Wireless Odor Message Delivery Electronics for the Deaf-blind,"Park W, Liu Y, Jiao Y, Shi R, Nan J, Yiu CK, Huang X, Chen Y, Li W, Gao Y, Zhang Q, Li D, Jia S, Gao Z, Song W, Lam MMH, Dai Z, Zhao Z, Li Y, Yu X.",ACS Nano. 2023 Nov 14,,,,,,,
34596939,Perception of smell of a perfume applied to the women skin in course of menstrual cycle,"Chróst N, Mościcka P, Pliszka K, Piskorz WM, Terlikowski R, Jamiołkowski J, Przylipiak A.",J Cosmet Dermatol. 2021 Nov,,,,,,,
28542639,Rodents and humans are able to detect the odour of L-Lactate,"Mosienko V, Chang AJ, Alenina N, Teschemacher AG, Kasparov S.",PLoS One. 2017 May 25,,,,,,,
35410004,"Excretion of Ni, Pb, Cu, As, and Hg in Sweat under Two Sweating Conditions","Kuan WH, Chen YL, Liu CL.",Int J Environ Res Public Health. 2022 Apr 4,,,,,,,
37055036,Elevations in sweat sodium concentration following ischemia-reperfusion injury during passive heat stress,"Hess HW, Baker TB, Keeler JM, Freemas JA, Worley ML, Johnson BD, Schlader ZJ.",J Appl Physiol (1985). 2023 Jun 1,,,,,,,
30032335,High-resolution axon reflex sweat testing for diagnosis of neuropathy,"Loavenbruck A, Sit N, Provitera V, Kennedy W.",Clin Auton Res. 2019 Feb,,,,,,,
37794120,Human scent as a first-line defense against disease,"Gordon AR, Lundström JN, Kimball BA, Karshikoff B, Sorjonen K, Axelsson J, Lekander M, Olsson MJ.",Sci Rep. 2023 Oct 4,,,,,,,
33758197,A wearable patch for continuous analysis of thermoregulatory sweat at rest,"Nyein HYY, Bariya M, Tran B, Ahn CH, Brown BJ, Ji W, Davis N, Javey A.",Nat Commun. 2021 Mar 23,,,,,,,
39292252,Taste and odor interactions after metabolic surgery,"Nicanor-Carreón JG, Rowitz B, Pepino MY.",Chem Senses. 2024 Jan 1,,,,,,,
28924971,Pitted keratolysis - a study of various clinical manifestations,"Makhecha M, Dass S, Singh T, Gandhi R, Yadav T, Rathod D.",Int J Dermatol. 2017 Nov,,,,,,,
27759804,Autonomic thermoregulatory dysfunction in neurofibromatosis type 1,"Madeira LG, Passos RL, Souza JF, Rezende NA, Rodrigues LO.",Arq Neuropsiquiatr. 2016 Oct,,,,,,,
35956363,Fluid Balance and Carbohydrate Intake of Elite Female Soccer Players during Training and Competition,"Tarnowski CA, Rollo I, Carter JM, Lizarraga-Dallo MA, Oliva MP, Clifford T, James LJ, Randell RK.",Nutrients. 2022 Aug 3,,,,,,,
32719469,The molecular basis of thioalcohol production in human body odour,"Rudden M, Herman R, Rose M, Bawdon D, Cox DS, Dodson E, Holden MTG, Wilkinson AJ, James AG, Thomas GH.",Sci Rep. 2020 Jul 27,,,,,,,
24449525,Quantification of sweat gland volume and innervation in neuropathy: Correlation with thermoregulatory sweat testing,"Loavenbruck A, Wendelschaefer-Crabbe G, Sandroni P, Kennedy WR.",Muscle Nerve. 2014 Oct,,,,,,,
36773301,Intelligent Soft Sweat Sensors for the Simultaneous Healthcare Monitoring and Safety Warning,"Huang X, Liu Y, Park W, Li J, Ma J, Yiu CK, Zhang Q, Li J, Wu P, Zhou J, Zeng Y, He X, Li J, Wong TH, Yao K, Zhao L, Gao Y, Shi R, Li H, Li M, Li D, Zhao Z, Li Y, Li H, Yu X.",Adv Healthc Mater. 2023 Jun,,,,,,,
